Tree,,Temp,VPD,CO,WD,befHS1,aftHS1,acl,befHS2,aftHS2,total,SLA,Stem,Root
1,C-M-AC_DRY,C,M,AC,DRY,1,0.93,1.05,1.01,1.05,1.04,457.83,4.3,4.24
2,C-M-AC_DRY,C,M,AC,DRY,1.03,1.01,1.02,0.95,1.01,1.01,330.46,3.5,5.14
3,C-M-AC_DRY,C,M,AC,DRY,0.95,0.99,0.97,1.12,1.01,1.02,527.83,3.9,3.77
4,C-M-AC_DRY,C,M,AC,DRY,1,1.01,1.07,0.97,1,1.05,389.39,4.3,7.35
5,C-M-AC_DRY,C,M,AC,DRY,0.98,1.07,0.99,1.02,1.08,1.13,326.98,3.7,5.07
6,C-M-AC_DRY,C,M,AC,DRY,1.01,1.1,0.92,1.03,1.01,1.06,414,3.8,6.03
1,C-M-AC_WET,C,M,AC,WET,1.02,1.06,1.02,1.05,1.02,1.17,462.63,3.88,9.09
2,C-M-AC_WET,C,M,AC,WET,1.03,1.09,1.03,1.08,1,1.23,670.33,7.2,15.6
3,C-M-AC_WET,C,M,AC,WET,1.01,1.09,0.99,1.21,0.99,1.3,538.04,4.92,13.33
4,C-M-AC_WET,C,M,AC,WET,1.06,1.02,1.13,1.04,0.94,1.2,492.67,4.69,9.39
5,C-M-AC_WET,C,M,AC,WET,1.01,1.14,1.01,1.04,1,1.22,623.83,5.55,10.37
6,C-M-AC_WET,C,M,AC,WET,1.1,1.09,1.01,1.06,0.97,1.24,516.94,3.9,9.62
1,HOT-H-AC-DRY,HOT,H,AC,DRY,1.03,1.02,1,0.95,1.06,1.06,295.22,3.5,
2,HOT-H-AC-DRY,HOT,H,AC,DRY,0.99,1.01,1,1.02,1,1.01,317.09,3.1,
3,HOT-H-AC-DRY,HOT,H,AC,DRY,1,0.99,1.08,0.96,1.01,1.04,334.66,4.7,4.65
4,HOT-H-AC-DRY,HOT,H,AC,DRY,1,1.01,1.09,0.94,1.05,1.09,376.2,3.4,3.46
5,HOT-H-AC-DRY,HOT,H,AC,DRY,0.98,1.02,0.97,1.02,1.1,1.08,369.43,3.8,4.09
6,HOT-H-AC-DRY,HOT,H,AC,DRY,0.94,1.04,1,1.01,1.08,1.07,442.16,5,5.72
1,HOT-H-AC-WET,HOT,H,AC,WET,1.03,1.05,1.05,1.06,1.08,1.3,548.2,5.26,7.33
2,HOT-H-AC-WET,HOT,H,AC,WET,1.03,1.16,0.97,1.02,1.03,1.23,501.73,4.5,10.89
3,HOT-H-AC-WET,HOT,H,AC,WET,1.02,1.03,1.02,1.1,1.13,1.32,580.23,5.1,6.07
4,HOT-H-AC-WET,HOT,H,AC,WET,1.04,1.03,1.06,1.02,1.08,1.25,583.56,6,6.48
5,HOT-H-AC-WET,HOT,H,AC,WET,1.01,1.09,0.99,1.04,1.02,1.14,521.67,6.1,10.96
6,HOT-H-AC-WET,HOT,H,AC,WET,1.02,1,1.07,1.07,0.98,1.14,567.23,7.2,9.28
1,HOT-H-EC-DRY,HOT,H,EC,DRY,0.98,0.94,1.04,1.04,0.95,0.95,187.86,4.89,2.9
2,HOT-H-EC-DRY,HOT,H,EC,DRY,0.99,1.03,1.01,1.02,0.98,1.03,440.44,5.65,5.78
3,HOT-H-EC-DRY,HOT,H,EC,DRY,1.01,0.95,1.11,1.02,1.1,1.2,402.89,3.55,6.82
4,HOT-H-EC-DRY,HOT,H,EC,DRY,1.02,0.96,1,1.04,1.01,1.03,444.76,4.88,4.55
5,HOT-H-EC-DRY,HOT,H,EC,DRY,1.02,0.99,1.06,1.11,0.94,1.12,425.2,3.84,4.75
6,HOT-H-EC-DRY,HOT,H,EC,DRY,1.02,1,1.12,1.02,1.07,1.23,409.42,3.88,4.67
1,HOT-H-EC-WET,HOT,H,EC,WET,0.99,0.98,1.04,1.13,0.98,1.12,596.88,6.66,14.22
2,HOT-H-EC-WET,HOT,H,EC,WET,1.01,1.05,1.03,1.06,1.03,1.18,696.93,7.04,16.89
3,HOT-H-EC-WET,HOT,H,EC,WET,1.04,0.99,1.06,1.09,1,1.19,696.07,9.85,12.27
4,HOT-H-EC-WET,HOT,H,EC,WET,1.03,1.01,1.05,1.03,1.07,1.21,790.38,7.6,24
5,HOT-H-EC-WET,HOT,H,EC,WET,1.01,1.05,1.02,1.05,1.01,1.15,748.02,11.13,12.17
6,HOT-H-EC-WET,HOT,H,EC,WET,1.03,1.16,1.01,1.11,1.03,1.38,701.29,5.35,15.19
1,HOT-L-AC-DRY,HOT,L,AC,DRY,1.01,0.96,0.99,1.12,0.96,1.04,415.99,4.5,6.33
2,HOT-L-AC-DRY,HOT,L,AC,DRY,0.97,0.95,1.01,1.01,1.12,1.06,391.14,3.6,6.98
3,HOT-L-AC-DRY,HOT,L,AC,DRY,0.94,1.01,1.08,1.02,1.05,1.11,414.12,4.1,3.29
4,HOT-L-AC-DRY,HOT,L,AC,DRY,1.02,0.96,1.04,1.01,1.04,1.08,438.91,3.5,
5,HOT-L-AC-DRY,HOT,L,AC,DRY,0.99,1.04,0.96,1.05,1.04,1.08,448.09,3.9,3.8
6,HOT-L-AC-DRY,HOT,L,AC,DRY,1.01,1.01,1.01,1.06,1.01,1.11,497.87,4.1,6.19
1,HOT-L-AC-WET,HOT,L,AC,WET,1.06,1.11,1.05,1.06,1.04,1.35,820.03,6.35,14.17
2,HOT-L-AC-WET,HOT,L,AC,WET,1.04,1.1,1.03,1.07,1,1.27,811.65,8.77,10.41
3,HOT-L-AC-WET,HOT,L,AC,WET,1.1,1.07,1.09,1.05,1.06,1.44,695.13,7.22,11.21
4,HOT-L-AC-WET,HOT,L,AC,WET,1.05,1.06,1.05,1.06,1.02,1.26,717.62,6.23,10.33
5,HOT-L-AC-WET,HOT,L,AC,WET,1.06,1.07,1.08,1.08,1.07,1.42,757.68,6.8,10.73
6,HOT-L-AC-WET,HOT,L,AC,WET,1.13,0.98,1.04,1.05,1.03,1.25,839.35,7.47,11.88
1,HOT-L-EC-DRY,HOT,L,EC,DRY,1,1.02,1,1.03,1.01,1.05,549.87,5.98,7.3
2,HOT-L-EC-DRY,HOT,L,EC,DRY,1,1.06,1.01,1.06,1.07,1.21,595.98,6.3,9.89
3,HOT-L-EC-DRY,HOT,L,EC,DRY,0.95,1.09,1.07,0.95,1.11,1.18,529.04,5.39,7.78
4,HOT-L-EC-DRY,HOT,L,EC,DRY,1.03,0.96,1,1.13,1.01,1.13,455.17,3.28,
5,HOT-L-EC-DRY,HOT,L,EC,DRY,0.99,1,1.11,1.01,1,1.11,415.42,4.75,7.35
6,HOT-L-EC-DRY,HOT,L,EC,DRY,1.02,1,0.99,1.02,1.04,1.07,514.43,5.4,8.03
1,HOT-L-EC-WET,HOT,L,EC,WET,1.02,1.03,1.05,1.06,1.02,1.21,940.3,10.14,16.13
2,HOT-L-EC-WET,HOT,L,EC,WET,1.04,1.07,1.04,1.06,1.02,1.25,644.71,6.8,17.17
3,HOT-L-EC-WET,HOT,L,EC,WET,0.92,1.06,1.07,1.06,1.12,1.24,755.53,7.06,12.51
4,HOT-L-EC-WET,HOT,L,EC,WET,1.02,1.04,1.11,1.06,1.08,1.36,830.52,7.85,15.63
5,HOT-L-EC-WET,HOT,L,EC,WET,1.04,1.09,0.97,1.1,1.01,1.23,837.16,9.26,20.42
6,HOT-L-EC-WET,HOT,L,EC,WET,1.03,1.1,1.01,1.13,1.02,1.32,776.31,6.25,13.78
