Date;DOY;Licor unit;Tree;Treat;Temp;VPD;CO2;WD;Obs;HHMMSS;FTime;EBal?;Photo;Cond;WUEi;Ci;Ci/10;VcmaxCi10;VcmaxCO2R10;Trmmol;VpdL;CTleaf;Area;BLC_1;StmRat;BLCond;Tair;Tleaf;TBlk;CO2R;CO2R/10;CO2S;H2OR;H2OS;RH_R;RH_S;Flow;PARi;PARo;Press;CsMch;HsMch;StableF;BLCslope;BLCoffst;f_parin;f_parout;alphaK;Status;fda;Trans;Tair_K;Twall_K;R(W/m2);Tl-Ta;SVTleaf;h2o_i;h20diff;CTair;SVTair;CndTotal;vp_kPa;VpdA;CndCO2;Ci_Pa;Ci/Ca;RHsfc;C2sfc;AHs/Cs;Photo385;Photo700
29.7.2014;210;blue;1;C-M-AC_DRY;C;M;C;DRY;29;10:33:01;6975.5;0;4.69063912;0.032362963;144.938494;140.31;14.03;63.4;15.2;0.46;1.38;26.37;6;1.42;1;2.84;25.44;26.37;24.96;386.32;38.63;380.47;20.44;20.98;61.71;63.35;499.5;1199.93;3.86;98.52;-8.38;-0.27;1;-0.22;2.74;1;0;0.16;111115;0.83;0;299.52;298.59;191.99;1.9;3.45;35;14.01;25.9;3.35;0.03;2.07;1.29;0.02;13.82;0.37;59.27;378.24;0.01;4.69;8.69
29.7.2014;210;green;2;C-M-AC_DRY;C;M;C;DRY;29;12:08:54;6830;0;0.246782977;0.000291147;847.6232865;-964.1;-96.41;0.22;-0.79;0;1.38;26.82;6;1.42;1;2.84;25.35;26.82;24.94;385.81;38.58;385.51;21.93;21.93;66.45;66.47;500.2;1198.85;7.44;98.38;11.04;-0.6;1;-0.22;2.74;1;0;0.16;111115;0.83;0;299.97;298.5;191.82;2.06;3.54;36;14.07;26.09;3.39;0;2.16;1.23;0;-94.85;-2.5;59.77;385.4;0;0.25;-0.58
29.7.2014;210;black;3;C-M-AC_DRY;C;M;C;DRY;38;10:55:45;8074.5;0;1.324654295;0.00246348;537.7166833;-475.37;-47.54;8.54;4.44;0.03;1.29;25.25;6;1.42;1;2.84;21.23;25.25;19.72;386.25;38.62;384.64;19.68;19.72;76.38;76.53;499.72;1200.47;1.43;98.29;-1.13;0.14;1;-0.22;2.74;1;0;0.16;111115;0.83;0;298.4;294.38;192.08;1.72;3.23;32.84;13.12;23.24;2.86;0;1.94;0.92;0;-46.72;-1.24;59;384.01;0;1.32;2.7
29.7.2014;210;green;4;C-M-AC_DRY;C;M;C;DRY;36;12:32:08;8224;0;-1.419084122;-0.000165008;8600.092856;-13216.56;-1321.66;0.11;-1.84;0;1.43;27.06;6;1.42;1;2.84;25.42;27.06;24.94;387.15;38.71;388.85;21.94;21.94;66.22;66.21;500.2;1200.13;7.37;98.38;11.51;-0.42;0;-0.22;2.74;1;0;0.16;111115;0.83;0;300.21;298.57;192.02;2.05;3.59;36.51;14.58;26.24;3.42;0;2.16;1.26;0;-1300.27;-33.99;58.88;389.53;0;-1.42;-0.48
29.7.2014;210;red;5;C-M-AC_DRY;C;M;C;DRY;36;11:01:15;7886;0;7.884050452;0.08555742;92.14923091;217.83;21.78;37.7;21.1;1.33;1.54;25.84;6;1.42;1;2.84;25.49;25.84;24.98;386.74;38.67;376.68;16.68;18.25;50.24;54.97;500.19;1199.6;2.26;98.59;-2.45;0.28;0;-0.22;2.74;1;0;0.16;111115;0.83;0;298.99;298.64;191.94;1.53;3.34;33.91;15.65;25.67;3.31;0.08;1.8;1.51;0.05;21.48;0.58;53.99;372.93;0.01;7.88;14.97
29.7.2014;210;blue;6;C-M-AC_DRY;C;M;C;DRY;36;10:56:10;8364.5;0;0.866027894;0.009083105;95.34491718;224.64;22.46;5.18;2.63;0.14;1.44;26.61;6;1.42;1;2.84;25.47;26.61;24.96;386.04;38.6;384.94;20.73;20.89;62.48;62.96;499.51;1200.28;3.83;98.52;-8.19;-0.27;1;-0.22;2.74;1;0;0.16;111115;0.83;0;299.76;298.62;192.04;2.04;3.5;35.51;14.62;26.04;3.38;0.01;2.06;1.32;0.01;22.13;0.58;57.77;384.53;0;0.87;1.96
29.7.2014;210;black;1;C-M-AC_WET;C;M;C;WET;24;10:14:00;5569.5;0;10.24791695;0.23903396;42.8722218;292.57;29.26;33.1;27.4;2.49;1.08;25.39;6;1.42;1;2.84;23.84;25.39;23.3;385.45;38.55;372.04;19.21;22.13;63.65;73.33;499.72;1200.34;1.08;98.3;-1.57;0.07;1;-0.22;2.74;1;0;0.16;111115;0.83;0;298.54;296.99;192.06;0.77;3.25;33.11;10.97;24.61;3.11;0.22;2.18;0.93;0.14;28.76;0.79;68.56;367.17;0.02;10.25;15.48
29.7.2014;210;red;2;C-M-AC_WET;C;M;C;WET;22;10:19:12;5363;0;13.22397775;0.119259047;110.8844828;178.58;17.86;72.9;34.4;1.98;1.66;26.36;6;1.42;1;2.84;25.44;26.36;24.98;386.67;38.67;369.93;15.76;18.1;47.61;54.66;500.2;1199.1;0.41;98.59;-2.25;0.26;0;-0.22;2.74;1;0;0.16;111115;0.83;0;299.51;298.59;191.86;1.11;3.45;34.96;16.86;25.9;3.35;0.11;1.78;1.57;0.07;17.61;0.48;52.45;363.65;0.02;13.22;22.19
29.7.2014;210;blue;3;C-M-AC_WET;C;M;C;WET;22;10:11:44;5698.5;0;13.80684819;0.329783424;41.86641045;289.92;28.99;45.8;37.5;2.83;0.92;25.13;6;1.42;1;2.84;25.38;25.13;24.96;386.37;38.64;368.53;19.89;23.21;60.26;70.32;499.49;1198.69;3.68;98.53;-8.61;-0.46;0;-0.22;2.74;1;0;0.16;111115;0.83;0;298.28;298.53;191.79;0.83;3.2;32.52;9.31;25.25;3.23;0.3;2.29;0.94;0.19;28.57;0.79;73.62;361.97;0.03;13.81;21.53
29.7.2014;210;green;4;C-M-AC_WET;C;M;C;WET;22;11:47:05;5521.5;0;13.46902661;0.136412395;98.73755688;201.33;20.13;-20.4;41.4;1.57;1.15;26.5;6;1.42;1;2.84;25.31;26.5;24.94;388.16;38.82;371.31;21.73;23.58;66.03;71.64;500.21;1201.23;7.14;98.39;3.92;-0.04;0;-0.22;2.74;1;0;0.16;111115;0.83;0;299.65;298.46;192.2;1.29;3.47;35.32;11.74;25.9;3.35;0.13;2.32;1.03;0.08;19.81;0.54;67.33;364.91;0.02;13.47;22.92
